Logging to logs/selfsup_mamba_20251022-151808
GPU is available
Using device: cuda
training lstm
[129] train=1.7317e-01 | val=1.2756e+00 | L=9.22e-02 E=2.76e-02 Dyn=1.16e+01 | eig-ratio-L2=1.280e-01 axis-align=0.886
[130] train=1.9109e-01 | val=1.2396e+00 | L=9.36e-02 E=2.34e-02 Dyn=1.12e+01 | eig-ratio-L2=1.266e-01 axis-align=0.885
[131] train=2.3392e-01 | val=1.3031e+00 | L=9.24e-02 E=2.55e-02 Dyn=1.19e+01 | eig-ratio-L2=1.291e-01 axis-align=0.883
[132] train=2.0873e-01 | val=1.4890e+00 | L=9.65e-02 E=3.71e-02 Dyn=1.36e+01 | eig-ratio-L2=1.287e-01 axis-align=0.883
[133] train=1.7454e-01 | val=1.4016e+00 | L=9.33e-02 E=3.28e-02 Dyn=1.28e+01 | eig-ratio-L2=1.276e-01 axis-align=0.885
[134] train=1.8903e-01 | val=1.6296e+00 | L=9.28e-02 E=3.40e-02 Dyn=1.50e+01 | eig-ratio-L2=1.304e-01 axis-align=0.886
[135] train=1.8213e-01 | val=1.5960e+00 | L=9.43e-02 E=3.78e-02 Dyn=1.46e+01 | eig-ratio-L2=1.298e-01 axis-align=0.884
[136] train=1.8392e-01 | val=1.3672e+00 | L=9.21e-02 E=3.60e-02 Dyn=1.24e+01 | eig-ratio-L2=1.281e-01 axis-align=0.883
[137] train=1.8810e-01 | val=1.4512e+00 | L=9.53e-02 E=3.54e-02 Dyn=1.32e+01 | eig-ratio-L2=1.266e-01 axis-align=0.881
[138] train=1.7079e-01 | val=1.8424e+00 | L=9.23e-02 E=3.43e-02 Dyn=1.72e+01 | eig-ratio-L2=1.296e-01 axis-align=0.883
[139] train=1.9070e-01 | val=1.2822e+00 | L=9.30e-02 E=3.26e-02 Dyn=1.16e+01 | eig-ratio-L2=1.291e-01 axis-align=0.885
[140] train=1.8497e-01 | val=1.3949e+00 | L=8.99e-02 E=3.30e-02 Dyn=1.27e+01 | eig-ratio-L2=1.294e-01 axis-align=0.886
[141] train=1.8322e-01 | val=1.5069e+00 | L=9.24e-02 E=3.68e-02 Dyn=1.38e+01 | eig-ratio-L2=1.281e-01 axis-align=0.885
[142] train=1.8606e-01 | val=2.1001e+00 | L=9.73e-02 E=3.72e-02 Dyn=1.97e+01 | eig-ratio-L2=1.284e-01 axis-align=0.885
[143] train=1.6892e-01 | val=1.3152e+00 | L=9.03e-02 E=2.95e-02 Dyn=1.20e+01 | eig-ratio-L2=1.304e-01 axis-align=0.887
[144] train=1.7469e-01 | val=1.6999e+00 | L=9.44e-02 E=3.54e-02 Dyn=1.57e+01 | eig-ratio-L2=1.292e-01 axis-align=0.887
[145] train=1.7464e-01 | val=1.5235e+00 | L=9.18e-02 E=3.08e-02 Dyn=1.40e+01 | eig-ratio-L2=1.289e-01 axis-align=0.886
[146] train=1.6932e-01 | val=1.6228e+00 | L=9.02e-02 E=3.48e-02 Dyn=1.50e+01 | eig-ratio-L2=1.292e-01 axis-align=0.881
[147] train=1.6626e-01 | val=1.8898e+00 | L=9.38e-02 E=3.53e-02 Dyn=1.76e+01 | eig-ratio-L2=1.215e-01 axis-align=0.887
[148] train=1.5704e-01 | val=1.4055e+00 | L=9.17e-02 E=2.76e-02 Dyn=1.29e+01 | eig-ratio-L2=1.272e-01 axis-align=0.884
[149] train=1.6066e-01 | val=1.6874e+00 | L=9.02e-02 E=3.00e-02 Dyn=1.57e+01 | eig-ratio-L2=1.303e-01 axis-align=0.890
[150] train=1.6500e-01 | val=1.5732e+00 | L=9.38e-02 E=3.57e-02 Dyn=1.44e+01 | eig-ratio-L2=1.271e-01 axis-align=0.882
[151] train=1.8644e-01 | val=1.6161e+00 | L=9.18e-02 E=3.36e-02 Dyn=1.49e+01 | eig-ratio-L2=1.245e-01 axis-align=0.885
[152] train=1.7496e-01 | val=1.7336e+00 | L=9.49e-02 E=3.60e-02 Dyn=1.60e+01 | eig-ratio-L2=1.278e-01 axis-align=0.881
[153] train=1.6388e-01 | val=1.7179e+00 | L=9.14e-02 E=3.77e-02 Dyn=1.59e+01 | eig-ratio-L2=1.294e-01 axis-align=0.886
[154] train=1.8284e-01 | val=1.4094e+00 | L=9.22e-02 E=3.81e-02 Dyn=1.28e+01 | eig-ratio-L2=1.261e-01 axis-align=0.888
[155] train=1.6184e-01 | val=1.6270e+00 | L=9.45e-02 E=3.82e-02 Dyn=1.49e+01 | eig-ratio-L2=1.267e-01 axis-align=0.885
[156] train=1.6613e-01 | val=1.5341e+00 | L=9.41e-02 E=3.68e-02 Dyn=1.40e+01 | eig-ratio-L2=1.275e-01 axis-align=0.883
[157] train=1.5932e-01 | val=1.6488e+00 | L=9.50e-02 E=4.06e-02 Dyn=1.51e+01 | eig-ratio-L2=1.237e-01 axis-align=0.886
[158] train=1.5591e-01 | val=1.5142e+00 | L=9.21e-02 E=4.03e-02 Dyn=1.38e+01 | eig-ratio-L2=1.238e-01 axis-align=0.885
[159] train=1.6732e-01 | val=1.4935e+00 | L=9.35e-02 E=3.74e-02 Dyn=1.36e+01 | eig-ratio-L2=1.251e-01 axis-align=0.888
[160] train=1.6907e-01 | val=1.2877e+00 | L=8.99e-02 E=3.66e-02 Dyn=1.16e+01 | eig-ratio-L2=1.259e-01 axis-align=0.891
[161] train=1.7082e-01 | val=1.5538e+00 | L=9.44e-02 E=3.97e-02 Dyn=1.42e+01 | eig-ratio-L2=1.238e-01 axis-align=0.886
[162] train=1.5518e-01 | val=1.5550e+00 | L=9.24e-02 E=3.77e-02 Dyn=1.42e+01 | eig-ratio-L2=1.265e-01 axis-align=0.884
[163] train=2.0627e-01 | val=1.4620e+00 | L=9.62e-02 E=3.83e-02 Dyn=1.33e+01 | eig-ratio-L2=1.234e-01 axis-align=0.888
[164] train=1.6768e-01 | val=1.3391e+00 | L=9.19e-02 E=3.41e-02 Dyn=1.21e+01 | eig-ratio-L2=1.290e-01 axis-align=0.890
[165] train=1.6091e-01 | val=1.4952e+00 | L=9.24e-02 E=3.94e-02 Dyn=1.36e+01 | eig-ratio-L2=1.252e-01 axis-align=0.889
[166] train=1.6081e-01 | val=1.6246e+00 | L=9.33e-02 E=3.69e-02 Dyn=1.49e+01 | eig-ratio-L2=1.252e-01 axis-align=0.883
[167] train=1.5105e-01 | val=1.2805e+00 | L=9.47e-02 E=3.79e-02 Dyn=1.15e+01 | eig-ratio-L2=1.265e-01 axis-align=0.892
